#,Name,Market Cap,Price,Volume (24h),Circulating Supply,Change (24h)
1,BTC Bitcoin,"$180,772,524,453",$10105.26,"$18,713,714,878","17,888,950 BTC",-5.83%
2,ETH Ethereum,"$19,838,648,399",$184.69,"$7,402,162,317","107,414,210 ETH",-6.49%
3,XRP XRP,"$11,405,901,208",$0.265929,"$1,150,053,592","42,890,708,341 XRP *",-3.15%
4,BCH Bitcoin Cash,"$5,366,461,447",$298.81,"$1,375,180,277","17,959,725 BCH",-5.58%
5,LTC Litecoin,"$4,599,340,835",$72.91,"$2,797,816,811","63,082,587 LTC",-2.42%
6,BNB Binance Coin,"$4,172,363,051",$26.83,"$214,540,534","155,536,713 BNB *",-4.89%
7,USDT Tether,"$4,019,075,841",$0.993860,"$20,579,374,248","4,043,907,382 USDT *",-0.69%
8,EOS EOS,"$3,233,107,884",$3.48,"$1,636,540,058","928,400,999 EOS *",-4.71%
9,BSV Bitcoin SV,"$2,369,058,607",$132.68,"$313,912,044","17,854,986 BSV",-6.04%
10,XMR Monero,"$1,382,629,106",$80.54,"$69,312,072","17,166,621 XMR",-6.90%
11,XLM Stellar,"$1,338,072,229",$0.068143,"$105,348,878","19,636,138,815 XLM *",-2.67%
12,ADA Cardano,"$1,217,854,944",$0.046972,"$42,820,821","25,927,070,538 ADA",-5.83%
13,LEO UNUS SED LEO,"$1,192,724,572",$1.19,"$10,743,847","999,498,893 LEO *",-8.25%
14,TRX TRON,"$1,105,570,754",$0.016580,"$479,390,719","66,682,072,191 TRX",-5.78%
15,DASH Dash,"$798,015,588",$88.75,"$178,795,556","8,991,850 DASH",-6.67%
16,LINK Chainlink,"$784,996,488",$2.24,"$101,239,874","350,000,000 LINK *",-6.60%
17,XTZ Tezos,"$728,674,355",$1.10,"$11,697,258","660,373,612 XTZ *",-5.43%
18,ETC Ethereum Classic,"$674,496,275",$5.98,"$890,451,325","112,872,635 ETC",-1.18%
19,NEO NEO,"$663,470,744",$9.41,"$260,676,051","70,538,831 NEO *",-4.82%
20,MIOTA IOTA,"$660,242,272",$0.237537,"$4,320,956","2,779,530,283 MIOTA *",-2.98%
21,ATOM Cosmos,"$506,911,939",$2.66,"$130,833,565","190,688,439 ATOM *",-6.60%
22,XEM  NEM,"$488,965,828",$0.054330,"$30,991,001","8,999,999,999 XEM *",-1.73%
23,MKR Maker,"$485,698,889",$485.70,"$2,127,804","1,000,000 MKR *",-4.21%
24,USDC USD Coin,"$418,513,033",$0.999434,"$131,842,974","418,750,191 USDC *",-0.23%
25,CRO Crypto.com Chain,"$390,489,930",$0.042578,"$11,040,067","9,171,232,877 CRO *",-3.28%
26,ONT Ontology,"$388,250,381",$0.727765,"$54,326,399","533,483,170 ONT *",-7.90%
27,ZEC Zcash,"$360,628,641",$49.81,"$147,964,369","7,240,581 ZEC",-4.89%
28,VSYS V Systems,"$333,908,782",$0.187019,"$13,677,444","1,785,426,035 VSYS *",-4.70%
29,DOGE Dogecoin,"$321,897,379",$0.002663,"$20,633,451","120,870,524,885 DOGE",-3.46%
30,DCR Decred,"$251,180,845",$24.46,"$18,674,516","10,267,800 DCR",-7.08%
31,HT Huobi Token,"$239,005,852",$4.78,"$103,057,348","50,000,200 HT *",-3.22%
32,QTUM Qtum,"$236,774,509",$2.47,"$204,711,756","95,958,780 QTUM *",-4.22%
33,VET VeChain,"$236,265,233",$0.004261,"$28,701,443","55,454,734,800 VET *",-6.45%
34,BTG Bitcoin Gold,"$225,443,083",$12.87,"$12,793,428","17,513,924 BTG",-5.60%
35,BAT Basic Attenti...,"$221,158,802",$0.172885,"$19,965,666","1,279,225,522 BAT *",-4.41%
36,HEDG HedgeTrade,"$217,857,128",$0.755417,"$1,375,989","288,393,355 HEDG *",-3.04%
37,TUSD TrueUSD,"$192,799,814",$0.997856,"$458,409,286","193,214,105 TUSD *",-0.30%
38,PAX Paxos Standar...,"$188,945,351",$0.994776,"$389,303,161","189,937,662 PAX *",-0.65%
39,OMG OmiseGO,"$163,855,648",$1.17,"$43,892,357","140,245,398 OMG *",-5.08%
40,LSK Lisk,"$140,979,234",$1.18,"$2,144,415","119,500,040 LSK *",-3.29%
41,RVN Ravencoin,"$140,024,055",$0.032984,"$10,637,970","4,245,170,000 RVN",-4.65%
42,ALGO Algorand,"$138,033,018",$0.574550,"$65,093,298","240,245,316 ALGO",-7.96%
43,NANO Nano,"$133,066,872",$0.998638,"$2,670,125","133,248,297  NANO *",-3.82%
44,BCD Bitcoin Diamond,"$128,804,186",$0.690665,"$3,995,988","186,492,898 BCD",-6.35%
45,BTT BitTorrent,"$125,996,619",$0.000594,"$32,166,153","212,116,500,000 BTT *",-6.73%
46,NRG  Energi,"$124,668,086",$6.26,"$740,187","19,910,652 NRG",-6.36%
47,WAVES Waves,"$120,827,810",$1.21,"$14,159,119","100,000,000 WAVES *",-4.50%
48,LAMB Lambda,"$116,258,157",$0.174579,"$49,685,938","665,933,965 LAMB *",-6.58%
49,HC HyperCash,"$113,838,448",$2.62,"$10,437,428","43,529,781 HC",-7.85%
50,BCN Bytecoin,"$110,416,098",$0.000600,"$39,177","184,066,828,814 BCN",4.69%
51,BTS BitShares,"$108,901,105",$0.039740,"$3,493,703","2,740,370,000 BTS *",-3.65%
52,REP Augur,"$107,532,596",$9.78,"$8,489,309","11,000,000 REP *",-4.96%
53,DGB DigiByte,"$106,683,099",$0.008764,"$1,500,977","12,172,917,038 DGB",-4.00%
54,THETA THETA,"$106,405,988",$0.122235,"$2,393,692","870,502,690 THETA *",-1.67%
55,HOT Holo,"$103,938,487",$0.000780,"$6,085,580","133,214,575,156 HOT *",-5.96%
56,IOST IOST,"$100,985,742",$0.008406,"$31,465,802","12,013,965,609 IOST *",-5.20%
57,AOA Aurora,"$100,224,459",$0.015319,"$3,789,272","6,542,330,148 AOA *",-5.47%
58,INB Insight Chain,"$99,613,269",$0.284688,"$6,786,843","349,902,689 INB *",-3.51%
59,ZRX 0x,"$98,980,349",$0.164837,"$8,667,671","600,475,853 ZRX *",-2.97%
60,EGT Egretia,"$96,652,613",$0.022916,"$20,283,091","4,217,777,159 EGT *",-24.00%
61,NPXS Pundi X,"$95,537,041",$0.000407,"$2,386,459","234,971,468,515 NPXS *",-6.42%
62,ICX ICON,"$94,375,887",$0.192426,"$10,111,598","490,453,304 ICX *",-8.45%
63,MONA MonaCoin,"$93,120,191",$1.42,"$2,642,594","65,729,675 MONA",-7.59%
64,NEX Nash Exchange,"$87,723,275",$2.42,"$3,561,481","36,196,678 NEX *",-4.47%
65,KMD Komodo,"$87,033,874",$0.753375,"$2,098,393","115,525,234 KMD",-6.16%
66,BTM Bytom,"$86,005,932",$0.085792,"$8,997,769","1,002,499,275 BTM",-6.65%
67,DAI Dai,"$79,240,087",$1.01,"$19,447,830","78,514,384 DAI *",0.04%
68,SC Siacoin,"$78,477,273",$0.001877,"$946,509","41,817,047,634 SC",-5.57%
69,QNT Quant,"$77,832,612",$6.45,"$2,485,538","12,072,738 QNT *",-6.62%
70,XVG Verge,"$77,709,787",$0.004890,"$1,062,726","15,892,527,699 XVG",-6.49%
71,RIF RIF Token,"$73,907,328",$0.154624,"$4,948,518","477,980,957 RIF *",6.07%
72,MAID MaidSafeCoin,"$70,820,150",$0.156490,"$343,648","452,552,412 MAID *",-6.10%
73,REN Ren,"$66,710,063",$0.083849,"$3,750,481","795,594,931 REN *",-11.10%
74,AE Aeternity,"$64,206,543",$0.229546,"$13,725,833","279,710,978 AE",-5.52%
75,ETP Metaverse ETP,"$62,936,098",$0.866720,"$4,283,807","72,614,130 ETP",-0.36%
76,GXC GXChain,"$62,602,126",$0.963110,"$4,739,327","65,000,000 GXC *",-7.81%
77,ZIL Zilliqa,"$61,033,533",$0.007026,"$5,481,548","8,687,360,058  ZIL",-6.23%
78,SNT Status,"$60,793,592",$0.017517,"$17,374,766","3,470,483,788 SNT *",-1.69%
79,WTC Waltonchain,"$59,390,033",$1.41,"$2,912,688","42,178,753 WTC *",-1.58%
80,STEEM Steem,"$56,420,029",$0.165096,"$692,678","341,741,286 STEEM *",-4.86%
81,ABBC ABBC Coin,"$54,547,224",$0.098406,"$60,087,109","554,307,762 ABBC",2.13%
82,XZC Zcoin,"$53,951,176",$6.58,"$3,499,019","8,197,943 XZC",-4.11%
83,ARDR Ardor,"$53,442,195",$0.053496,"$608,163","998,999,495 ARDR *",-6.72%
84,MCO Crypto.com,"$51,220,073",$3.24,"$3,298,168","15,793,831 MCO *",-4.34%
85,ENJ Enjin Coin,"$49,408,363",$0.063648,"$3,845,486","776,278,713 ENJ *",-3.41%
86,WAX WAX,"$49,066,647",$0.052042,"$252,287","942,821,662 WAX *",-2.37%
87,GNT Golem,"$48,507,890",$0.050296,"$932,072","964,450,000 GNT *",-2.62%
88,GRIN Grin,"$46,471,240",$2.48,"$43,202,375","18,762,480 GRIN",-6.36%
89,NEXO Nexo,"$43,907,575",$0.078406,"$7,004,168","560,000,011 NEXO *",-4.91%
90,ELF aelf,"$41,536,196",$0.083109,"$13,791,976","499,780,000 ELF *",-8.44%
91,ELA Elastos,"$41,295,304",$2.59,"$5,173,449","15,940,515 ELA",-7.95%
92,BEAM Beam,"$41,110,071",$1.26,"$68,293,266","32,523,600 BEAM",-8.15%
93,R Revain,"$38,049,909",$0.078542,"$2,118,045","484,450,000 R *",-3.07%
94,ETN Electroneum,"$37,757,288",$0.003860,"$143,405","9,781,655,155 ETN",-3.14%
95,DGD DigixDAO,"$37,651,611",$18.83,"$792,267","2,000,000 DGD *",-4.90%
96,DGTX Digitex Futures,"$37,455,955",$0.049263,"$1,289,428","760,320,276 DGTX *",-12.87%
97,SNX Synthetix Net...,"$37,272,082",$0.299336,"$48,440","124,516,059 SNX *",-3.27%
98,PAI Project Pai,"$37,173,627",$0.025640,"$1,309,109","1,449,830,650 PAI *",-0.58%
99,STRAT Stratis,"$36,579,840",$0.367805,"$975,055","99,454,551 STRAT *",-3.14%
100,ZEN Horizen,"$36,540,581",$5.11,"$1,908,648","7,154,413 ZEN",-2.34%
